diameter,28.0
length,22.0
kv,1380
constant_power,100
burst_power,150
weight,27
shaft_diameter,3.0
esc_recommendation,12
voltage_range,7.4x11.1
prop_recommendation,"8x4.5SF/10x4.5SF"
